package	maj	min	perms	usr/grp	size	lastmod	pathfile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	198	1993-11-01 12:31	docs/Makefile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	198	1993-11-01 12:33	etc/Makefile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	198	1994-04-28 09:23	bin/Makefile
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5743	1994-04-29 08:45	src/lcs.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	57	1994-04-29 08:45	src/lcs.h
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	888	1994-05-02 22:34	etc/make-base
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	1155	1994-05-03 11:45	etc/check-for-program
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	61	1994-05-04 08:56	src/times.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	241	1994-05-05 10:49	src/years.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	490	1994-05-05 10:53	src/ratings.h
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	188	1994-05-07 21:40	etc/recompress
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	229	1994-09-06 23:18	src/aka.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	37	1995-01-01 22:39	src/log.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	631	1995-01-01 22:42	src/log.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	104	1995-01-02 21:57	src/trivia.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	784	1995-01-02 22:03	src/titlesearch.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	361	1995-01-02 22:05	src/titleinfo.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	611	1995-01-02 22:18	src/filmography.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	113	1995-01-02 22:22	src/literature.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	103	1995-01-02 22:25	src/plot.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	136	1995-01-02 22:26	src/movielinks.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	111	1995-01-03 22:05	src/biographies.h
moviedb-3.4	3	4.0	-rw-r-----	cn/users	973	1995-01-30 09:13	docs/FUTURES
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2262	1995-02-05 17:10	man/lformat.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	1660	1995-02-05 17:10	man/lguide.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	4014	1995-02-05 17:10	man/lindex.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	5067	1995-02-05 17:10	man/list.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	1522	1995-02-05 17:11	man/listall.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2398	1995-02-05 17:11	man/lseen.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	1945	1995-02-05 17:11	man/ltrace.man
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	283	1995-02-05 17:11	man/makecatman
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	294	1995-02-05 17:11	man/makeps
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	210	1995-02-05 17:12	man/maketxt
moviedb-3.4	3	4.0	-rw-r-----	cn/users	1440	1995-02-05 17:12	man/mkballot.man
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	383	1995-02-05 17:17	man/makeman
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2300	1995-02-05 20:34	man/title.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2754	1995-02-05 20:35	man/alist.man
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2773	1995-02-05 22:32	man/Makefile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	198	1995-02-07 15:01	man/man1/Makefile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	3290	1995-02-07 23:24	man/bottom.man
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	12556	1996-03-16 07:47	src/lformat.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	16246	1996-03-16 07:47	src/lseen.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	2761	1996-03-16 07:47	src/mkballot.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3240	1996-03-16 07:47	src/movielinks.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5549	1996-03-16 07:47	src/ratings.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5194	1996-03-16 07:48	src/titleinfo.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3095	1996-03-16 07:48	src/trivia.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3840	1996-03-16 07:48	src/years.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	14782	1996-06-24 21:49	src/alist.c
moviedb-3.4	3	4.0	-rw-r-----	cn/users	67423	1996-06-29 09:27	docs/manual.tex
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	7534	1996-06-29 09:43	src/list.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3138	1996-08-27 10:24	src/literature.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	4000	1996-08-27 10:26	src/plot.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	109	1996-10-16 22:12	src/business.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	110	1996-10-17 22:27	src/laserdisc.h
moviedb-3.4	3	4.0	-rw-r-----	cn/users	14574	1996-10-22 06:36	Makefile
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	6795	1996-10-22 10:42	src/title.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5806	1996-10-22 10:43	src/ltrace.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5343	1996-10-22 10:44	src/laserdisc.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	4578	1996-10-22 10:44	src/listall.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	7674	1996-10-22 10:46	src/aka.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	28002	1996-10-22 10:48	src/filmography.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	4512	1996-10-22 10:50	src/lguide.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	945	1996-11-27 10:31	src/display.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	6237	1996-11-27 10:36	man/man1/alist.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5745	1996-11-27 10:36	man/man1/lformat.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5143	1996-11-27 10:36	man/man1/lguide.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	7497	1996-11-27 10:36	man/man1/lindex.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	8550	1996-11-27 10:36	man/man1/list.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5005	1996-11-27 10:36	man/man1/listall.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5881	1996-11-27 10:36	man/man1/lseen.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5428	1996-11-27 10:36	man/man1/ltrace.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	4923	1996-11-27 10:36	man/man1/mkballot.1
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	5783	1996-11-27 10:36	man/man1/title.1
moviedb-3.4	3	4.0	-rwxr-x---	cn/users	10648	1997-04-15 13:45	etc/lfetch
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3127	1997-04-15 13:58	src/business.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	2059	1997-04-15 14:27	src/castcomp.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	152	1997-04-15 14:27	src/castcomp.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	9085	1997-04-15 14:29	lists/Makefile
moviedb-3.4	3	4.0	-rw-r-----	cn/users	28568	1997-04-15 14:30	dbs/Makefile
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	26254	1997-04-15 15:00	src/titlesearch.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	18042	1997-05-06 10:34	src/lindex.c
moviedb-3.4	3	4.0	-rw-r-----	cn/users	4726	1998-01-04 20:45	docs/LICENSE
moviedb-3.4	3	4.0	-rw-r-----	cn/users	4726	1998-01-04 20:45	LICENSE
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	19185	1998-03-17 16:01	src/moviedb.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	6905	1998-03-17 16:08	src/Makefile
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	36957	1998-03-29 22:15	src/dbutils.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	3817	1998-03-29 22:15	src/dbutils.h
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	6042	1998-03-29 22:17	src/biographies.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	99205	1998-03-29 22:17	src/mkdb.c
moviedb-3.4	3	4.0	-rw-------	cn/users	48083	1998-03-29 22:40	docs/FAQ
moviedb-3.4	3	4.0	-rw-r-----	cn/users	9076	1998-03-29 22:41	docs/ChangeLog
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	40521	1998-03-29 22:43	src/display.c
moviedb-3.4	3	4.0	-rw-r-----	cn/users	4147	1998-03-29 22:45	INSTALL
moviedb-3.4	3	4.0	-rw-r-----	cn/users	7814	1998-03-29 22:46	README
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	198146	1998-03-29 22:47	src/template.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	79954	1998-03-29 22:47	src/templist.c
moviedb-3.4	3	4.0	-rw-r--r--	cn/users	181091	1998-03-29 22:49	docs/ADDS-GUIDE
moviedb-3.4	3	4.0	-rw-r-----	cn/users	50605	1998-03-29 22:51	docs/INSTRUCTIONS
moviedb-3.4	3	4.0	-rw-r-----	cn/users	2723	1998-03-29 22:52	docs/UPGRADING
moviedb-3.4a	3	4.1	-rw-r--r--	cn/users	6905	1998-03-29 22:54	src/Makefile
moviedb-3.4a	3	4.1	-rw-r-----	cn/users	28579	1998-05-25 20:45	dbs/Makefile
moviedb-3.4a	3	4.1	-rw-r--r--	cn/users	19185	1998-05-25 20:45	src/moviedb.h
moviedb-3.4a	3	4.1	-rw-r--r--	cn/users	18096	1998-07-02 13:44	src/lindex.c
moviedb-3.4a	3	4.1	-rw-r-----	cn/users	7814	1998-07-02 13:56	README
moviedb-3.4a	3	4.1	-rw-------	cn/users	47907	1998-07-02 13:57	docs/FAQ
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	14951	1998-07-13 22:27	src/alist.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	7740	1998-10-05 10:57	src/aka.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	37049	1998-10-05 10:57	src/dbutils.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	28018	1998-10-05 10:57	src/filmography.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	99069	1998-10-05 10:57	src/mkdb.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	19432	1998-10-05 10:57	src/moviedb.h
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	26268	1998-10-05 10:57	src/titlesearch.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	3868	1998-10-05 10:57	src/years.c
moviedb-3.5	3	5.0	-rw-r--r--	cn/users	6905	1998-10-05 10:58	src/Makefile
moviedb-3.5	3	5.0	-rw-r-----	cn/users	9247	1998-10-11 16:05	docs/ChangeLog
moviedb-3.5a	3	5.1	-rw-r--r--	jreeves/users	6905	1998-11-19 17:51	src/Makefile
moviedb-3.5a	3	5.1	-rw-r--r--	jreeves/users	26260	1998-11-19 17:51	src/titlesearch.c
moviedb-3.5a	3	5.1	-rw-r--r--	jreeves/users	15245	1998-11-19 17:52	src/alist.c
moviedb-3.5a	3	5.1	-rw-r--r--	jreeves/users	37049	1998-11-19 17:52	src/dbutils.c
moviedb-3.5a	3	5.1	-rw-r--r--	jreeves/users	12856	1998-11-19 17:52	src/lformat.c
moviedb-3.7	3	7.0	-rw-r--r--	jreeves/users	106010	1999-01-30 23:23	src/templist.c
moviedb-3.7	3	7.0	-rw-r--r--	jreeves/users	3833	1999-03-08 02:01	src/dbutils.h
moviedb-3.7	3	7.0	-rw-r--r--	jreeves/users	9263	1999-03-08 02:21	lists/Makefile
moviedb-3.7	3	7.0	-rwxr-x---	jreeves/users	10772	1999-03-08 02:23	etc/lfetch
moviedb-3.7	3	7.0	-rw-r--r--	jreeves/users	15250	1999-03-08 19:04	src/alist.c
moviedb-3.7	3	7.0	-rw-r--r--	jreeves/users	39586	1999-03-08 19:04	src/dbutils.c
